country,N,N%,T,10th percentile,25th percentile,50th percentile,75th percentile,90th percentile
Australia,476,5.51%,68,-33.3,-8.6,-0.2,7.4,35.4
Belgium,54,0.62%,68,-11.9,-4.9,-0.1,4.5,14.0
Canada,736,8.52%,68,-23.3,-5.6,0.0,6.3,30.1
Colombia,4,0.05%,68,-8.7,-2.2,1.1,7.2,18.2
Croatia,25,0.29%,68,-45.7,-10.6,-0.9,8.4,51.0
France,316,3.66%,68,-13.0,-4.9,0.0,5.1,17.5
Germany,310,3.59%,68,-20.0,-6.5,-0.2,5.9,25.1
Greece,106,1.23%,68,-10.1,-4.5,-0.2,4.2,12.0
Ireland,40,0.46%,68,-12.7,-4.2,-0.2,4.2,15.8
Italy,101,1.17%,68,-12.5,-5.4,-0.1,5.5,15.9
Japan,2466,28.54%,68,-17.2,-7.1,-0.8,5.1,17.8
Mexico,71,0.82%,68,-12.6,-3.7,0.4,6.1,20.2
Netherlands,60,0.69%,68,-14.5,-4.8,0.0,4.8,17.2
Russian Federation,43,0.5%,68,-11.4,-4.8,0.0,5.6,16.9
Singapore,279,3.23%,68,-20.4,-6.8,-0.4,6.3,25.7
South Korea,692,8.01%,68,-21.0,-6.8,0.0,7.3,26.8
Spain,22,0.25%,68,-10.9,-5.0,0.0,5.7,15.0
United States,2840,32.87%,68,-13.1,-3.2,0.0,3.4,17.3
