country,N,N%,T,10th percentile,25th percentile,50th percentile,75th percentile,90th percentile
Australia,476,5.51%,68,1.2,8.4,31.1,116.1,798.6
Belgium,54,0.62%,68,4.1,14.0,36.9,123.6,571.8
Canada,736,8.52%,68,0.3,10.6,41.9,159.8,770.6
Colombia,4,0.05%,68,77.2,123.5,194.1,273.8,330.9
Croatia,25,0.29%,68,1.8,10.1,35.0,144.1,334.1
France,316,3.66%,68,4.5,13.8,30.1,69.3,253.1
Germany,310,3.59%,68,1.5,8.0,20.5,45.1,125.9
Greece,106,1.23%,68,12.7,32.1,69.6,151.7,347.8
Ireland,40,0.46%,68,5.7,16.3,31.5,67.3,281.4
Italy,101,1.17%,68,10.0,23.2,44.0,87.1,378.7
Japan,2466,28.54%,68,1.4,5.8,16.8,36.0,72.9
Mexico,71,0.82%,68,8.2,22.5,41.5,92.1,318.4
Netherlands,60,0.69%,68,5.1,15.1,32.4,89.4,547.6
Russian Federation,43,0.5%,68,13.7,29.6,55.0,101.7,193.9
Singapore,279,3.23%,68,2.0,9.1,27.6,92.6,332.9
South Korea,692,8.01%,68,2.2,9.0,24.4,46.9,87.7
Spain,22,0.25%,68,24.3,38.0,83.8,323.1,562.8
United States,2840,32.87%,68,3.6,15.5,47.0,152.1,430.7
