country,N,N%,T,10th percentile,25th percentile,50th percentile,75th percentile,90th percentile
Australia,476,5.51%,68,-23.4,-6.2,0.4,8.7,26.7
Belgium,54,0.62%,68,-13.3,-4.7,0.6,6.3,15.0
Canada,736,8.52%,68,-18.1,-4.0,0.0,7.3,23.8
Colombia,4,0.05%,68,-14.4,-5.1,1.2,10.8,26.2
Croatia,25,0.29%,68,-23.1,-7.9,1.4,11.6,35.0
France,316,3.66%,68,-11.4,-4.2,0.6,5.7,14.0
Germany,310,3.59%,68,-14.6,-4.8,0.8,7.1,17.0
Greece,106,1.23%,68,-18.9,-7.3,0.6,9.2,22.9
Ireland,40,0.46%,68,-12.2,-3.3,1.2,6.4,15.5
Italy,101,1.17%,68,-18.5,-6.8,0.7,8.7,21.8
Japan,2466,28.54%,68,-12.7,-4.6,0.4,6.4,14.5
Mexico,71,0.82%,68,-13.7,-4.3,1.5,7.2,16.3
Netherlands,60,0.69%,68,-14.6,-4.1,0.4,5.7,14.5
Russian Federation,43,0.5%,68,-17.0,-6.3,1.6,10.0,21.6
Singapore,279,3.23%,68,-18.5,-6.5,0.7,8.4,22.1
South Korea,692,8.01%,68,-15.3,-5.0,0.8,7.8,20.2
Spain,22,0.25%,68,-15.1,-5.7,0.8,7.2,20.2
United States,2840,32.87%,68,-10.1,-1.9,0.0,4.8,13.5
